0.004950	0.006700	0.005850		0.009900	0.013400	0.011700
0.000000	0.000000	0.000000		0.000000	0.000000	0.000000

0.004500	0.006091	0.005318		0.010890	0.014740	0.012870
0.010888	0.014735	0.012867		0.010890	0.014740	0.012870

0.004500	0.006091	0.005318		0.010890	0.014740	0.012870
0.021766	0.029445	0.025716		0.021778	0.029475	0.025737

0.004500	0.006091	0.005318		0.010890	0.014740	0.012870
0.032616	0.044086	0.038521		0.032656	0.044185	0.038586

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.043415	0.058599	0.051241		0.043506	0.058826	0.051391

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.054132	0.072909	0.063826		0.054305	0.073339	0.064111

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.064728	0.086923	0.076213		0.065022	0.087649	0.076696

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.075160	0.100543	0.088334		0.075618	0.101663	0.089083

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.085379	0.113660	0.100113		0.086050	0.115283	0.101204

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.095335	0.126172	0.111473		0.096269	0.128400	0.112983

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.104976	0.137980	0.122338		0.106225	0.140912	0.124343

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.114250	0.149000	0.132639		0.115866	0.152720	0.135208

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.123110	0.159168	0.142316		0.125140	0.163740	0.145509

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.131513	0.168444	0.151321		0.134000	0.173908	0.155186

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.139424	0.176810	0.159621		0.142403	0.183184	0.164191

0.004500	0.006768	0.005318		0.010890	0.014740	0.012870
0.146816	0.184273	0.167200		0.150314	0.191550	0.172491

0.005000	0.006768	0.005318		0.010890	0.014740	0.012870
0.153659	0.190863	0.174059		0.157706	0.199013	0.180070

0.005000	0.006768	0.005318		0.010890	0.014740	0.012870
0.159959	0.196626	0.180212		0.164549	0.205603	0.186929

0.005000	0.006768	0.005318		0.010890	0.014740	0.012870
0.165716	0.201621	0.185685		0.170849	0.211366	0.193082

0.005000	0.006768	0.005318		0.010890	0.014740	0.012870
0.170941	0.205915	0.190518		0.176606	0.216361	0.198555

0.005000	0.006768	0.005318		0.010890	0.014740	0.012870
0.175654	0.209583	0.194754		0.181831	0.220655	0.203388

0.005000	0.006768	0.005318		0.010890	0.014740	0.012870
0.179879	0.212694	0.198445		0.186544	0.224323	0.207624

0.005000	0.006768	0.005318		0.010890	0.014740	0.012870
0.183644	0.215320	0.201641		0.190769	0.227434	0.211315

0.005000	0.006768	0.005318		0.010890	0.014740	0.012870
