0	0	0	263
1	0	1	263
1	0	1	263
2	0	2	263
2	0	2	263
3	0	3	263
3	0	3	263
4	0	4	263
4	0	4	263
5	0	5	263
5	0	5	263
6	0	6	263
6	0	6	263
7	0	7	263
7	0	7	263
8	0	8	263
8	0	8	263
9	0	9	263
9	0	9	263
10	0	10	263
10	0	10	263
11	0	11	263
11	0	11	263
12	0	12	263
12	0	12	263
13	0	13	263
13	0	13	263
14	0	14	263
14	0	14	263
15	0	15	263
15	0	15	263
16	0	16	263
16	0	16	263
17	0	17	263
17	0	17	263
18	0	18	263
18	0	18	263
19	0	19	218
19	0	19	218
19	222	19	263
20	0	20	217
20	0	20	217
20	223	20	263
21	0	21	217
21	0	21	217
21	225	21	263
22	0	22	158
22	0	22	158
22	161	22	217
22	225	22	263
23	0	23	157
23	0	23	157
23	163	23	216
23	226	23	263
24	0	24	156
24	0	24	156
24	164	24	216
24	227	24	263
25	0	25	156
25	0	25	156
25	165	25	216
25	227	25	263
26	0	26	156
26	0	26	156
26	166	26	215
26	228	26	263
27	0	27	156
27	0	27	156
27	166	27	215
27	228	27	263
28	0	28	155
28	0	28	155
28	167	28	215
28	228	28	263
29	0	29	155
29	0	29	155
29	167	29	214
29	229	29	263
30	0	30	155
30	0	30	155
30	168	30	214
30	229	30	263
31	0	31	137
31	0	31	137
31	140	31	154
31	168	31	213
31	229	31	263
32	0	32	136
32	0	32	136
32	142	32	154
32	168	32	195
32	198	32	213
32	229	32	263
33	0	33	135
33	0	33	135
33	143	33	154
33	169	33	194
33	200	33	212
33	229	33	235
33	239	33	263
34	0	34	135
34	0	34	135
34	144	34	153
34	169	34	193
34	202	34	212
34	228	34	234
34	241	34	263
35	0	35	134
35	0	35	134
35	145	35	153
35	169	35	193
35	203	35	212
35	228	35	234
35	242	35	263
36	0	36	134
36	0	36	134
36	146	36	152
36	168	36	192
36	204	36	211
36	228	36	233
36	243	36	263
37	0	37	134
37	0	37	134
37	147	37	152
37	168	37	176
37	179	37	192
37	204	37	211
37	227	37	233
37	244	37	263
38	0	38	134
38	0	38	134
38	147	38	152
38	168	38	175
38	181	38	192
38	205	38	211
38	227	38	232
38	244	38	263
39	0	39	134
39	0	39	134
39	147	39	152
39	168	39	174
39	182	39	191
39	205	39	210
39	226	39	232
39	245	39	263
40	0	40	133
40	0	40	133
40	148	40	151
40	167	40	174
40	183	40	191
40	205	40	210
40	226	40	232
40	245	40	263
41	0	41	133
41	0	41	133
41	148	41	151
41	167	41	174
41	184	41	191
41	205	41	210
41	225	41	231
41	245	41	263
42	0	42	133
42	0	42	133
42	147	42	151
42	166	42	173
42	185	42	190
42	204	42	209
42	225	42	231
42	245	42	263
43	0	43	133
43	0	43	133
43	147	43	150
43	166	43	173
43	185	43	190
43	204	43	209
43	224	43	231
43	245	43	263
44	0	44	132
44	0	44	132
44	147	44	150
44	165	44	172
44	185	44	190
44	204	44	209
44	224	44	230
44	245	44	263
45	0	45	132
45	0	45	132
45	147	45	150
45	165	45	172
45	185	45	190
45	204	45	209
45	223	45	230
45	245	45	263
46	0	46	132
46	0	46	132
46	147	46	150
46	165	46	172
46	186	46	189
46	203	46	208
46	223	46	230
46	244	46	263
47	0	47	132
47	0	47	132
47	146	47	149
47	164	47	171
47	185	47	189
47	203	47	208
47	223	47	229
47	244	47	263
48	0	48	131
48	0	48	131
48	146	48	149
48	164	48	171
48	185	48	189
48	202	48	208
48	222	48	229
48	243	48	263
49	0	49	131
49	0	49	131
49	145	49	149
49	164	49	170
49	185	49	189
49	202	49	207
49	222	49	229
49	243	49	263
50	0	50	66
50	0	50	66
50	78	50	131
50	145	50	149
50	163	50	170
50	184	50	189
50	201	50	207
50	221	50	228
50	243	50	263
51	0	51	62
51	0	51	62
51	85	51	131
51	145	51	148
51	163	51	170
51	184	51	188
51	201	51	207
51	221	51	228
51	242	51	263
52	0	52	61
52	0	52	61
52	90	52	130
52	144	52	148
52	163	52	169
52	183	52	188
52	201	52	206
52	221	52	228
52	242	52	263
53	0	53	60
53	0	53	60
53	94	53	130
53	144	53	148
53	162	53	169
53	183	53	188
53	200	53	206
53	220	53	227
53	242	53	263
54	0	54	59
54	0	54	59
54	98	54	130
54	143	54	148
54	162	54	169
54	183	54	188
54	200	54	206
54	220	54	227
54	241	54	263
55	0	55	59
55	0	55	59
55	101	55	130
55	143	55	147
55	161	55	168
55	182	55	188
55	199	55	206
55	219	55	227
55	241	55	263
56	0	56	59
56	0	56	59
56	104	56	130
56	143	56	147
56	161	56	168
56	182	56	187
56	199	56	205
56	219	56	226
56	241	56	263
57	0	57	59
57	0	57	59
57	106	57	129
57	142	57	147
57	161	57	168
57	181	57	187
57	199	57	205
57	219	57	226
57	240	57	263
58	0	58	59
58	0	58	59
58	108	58	129
58	142	58	147
58	160	58	167
58	181	58	187
58	198	58	205
58	218	58	226
58	240	58	263
59	0	59	59
59	0	59	59
59	110	59	129
59	141	59	147
59	160	59	167
59	181	59	187
59	198	59	205
59	218	59	225
59	240	59	263
60	0	60	60
60	0	60	60
60	113	60	129
60	141	60	146
60	160	60	166
60	180	60	187
60	198	60	204
60	217	60	225
60	239	60	263
61	0	61	60
61	0	61	60
61	114	61	129
61	141	61	146
61	159	61	164
61	180	61	187
61	197	61	204
61	217	61	224
61	239	61	263
62	0	62	61
62	0	62	61
62	116	62	128
62	140	62	146
62	159	62	161
62	180	62	187
62	197	62	204
62	217	62	224
62	239	62	263
63	0	63	61
63	0	63	61
63	117	63	128
63	140	63	146
63	179	63	186
63	197	63	204
63	217	63	224
63	238	63	263
