美國 Baby TV,mms://a462.l2277448461.c22774.n.lm.akamaistream.net/D/462/22774/v0001/reflector:48461
華盛頓大學,mms://media-wm.cac.washington.edu/ResearchTV Live (LAN)
德州農工大學,mms://winstream.kamu.tamu.edu/kamu-tv
美國 懷舊電影,mms://38.100.207.14/wsm
NASA TV,mms://mid.video.csupomona.edu/liveTwo-245
央視 7 兒童·軍事..-公司網路,mms://dtv.iptv.tw-airnet.net/dtv-208(2)
央視 7 兒童·軍事..-中華網路,mms://chtdtv.iptv.tw-airnet.net/dtv-208(2)
央視 7 兒童·軍事..-金門網路,mms://kmdtv.iptv.tw-airnet.net/dtv-208(2)
央視 10 科教頻道-公司網路,mms://dtv.iptv.tw-airnet.net/dtv-207(1)
央視 10 科教頻道-中華網路,mms://chtdtv.iptv.tw-airnet.net/dtv-207(1)
央視 10 科教頻道-金門網路,mms://kmdtv.iptv.tw-airnet.net/dtv-207(1)
央視 11 戲曲頻道-公司網路,mms://dtv.iptv.tw-airnet.net/dtv-207(2)
央視 11 戲曲頻道-中華網路,mms://chtdtv.iptv.tw-airnet.net/dtv-207(2)
央視 11 戲曲頻道-金門網路,mms://kmdtv.iptv.tw-airnet.net/dtv-207(2)
央視 12 社會與法..-公司網路,mms://dtv.iptv.tw-airnet.net/dtv-206(1)
央視 12 社會與法..-中華網路,mms://chtdtv.iptv.tw-airnet.net/dtv-206(1)
央視 12 社會與法..-金門網路,mms://kmdtv.iptv.tw-airnet.net/dtv-206(1)
央視 音樂頻道-公司網路,mms://dtv.iptv.tw-airnet.net/dtv-206(2)
央視 音樂頻道-中華網路,mms://chtdtv.iptv.tw-airnet.net/dtv-206(2)
央視 音樂頻道-金門網路,mms://kmdtv.iptv.tw-airnet.net/dtv-206(2)
央視 兒童頻道-公司網路,mms://dtv.iptv.tw-airnet.net/dtv-205(1)
央視 兒童頻道-中華網路,mms://chtdtv.iptv.tw-airnet.net/dtv-205(1)
央視 兒童頻道-金門網路,mms://kmdtv.iptv.tw-airnet.net/dtv-205(1)
中央教育台-公司網路,mms://dtv.iptv.tw-airnet.net/dtv-205(2)
中央教育台-中華網路,mms://chtdtv.iptv.tw-airnet.net/dtv-205(2)
中央教育台-金門網路,mms://kmdtv.iptv.tw-airnet.net/dtv-205(2)
人間衛視-公司網路,mms://dtv.iptv.tw-airnet.net/DTV-211
人間衛視-中華網路,mms://chtdtv.iptv.tw-airnet.net/DTV-211
人間衛視-金門網路,mms://kmdtv.iptv.tw-airnet.net/DTV-211
鳳凰衛視中文,mms://61.236.93.37/litv01
[V] 音樂臺 ,mms://61.236.93.37/litv02
鳳凰衛視資訊,mms://61.236.93.37/litv03
美國動物園 熊貓 2,mms://160.111.253.227/pandacam1
香港 TVB8,mms://61.236.93.37/litv05
星空衛視,mms://61.236.93.37/litv06 
東風衛視 ,mms://61.236.93.37/litv07
香港新知臺,mms://61.236.93.37/litv12
華娛衛視,mms://61.236.93.37/litv13
香港NOW寬頻,mms://61.236.93.37/litv14
大愛電視,mms://wmslive.media.hinet.net/WebLive_DaaiTV_600
生命電視台,mms://wmslive.media.hinet.net/Weblive_LifeTV_600
美國動物園 熊貓 1,mms://160.111.253.227/pandacam2
美國動物園 老虎,mms://NZPWMserver1.si.edu/tiger1
美國動物園 獅子,mms://160.111.143.151/lion
美國動物園 大猩猩,mms://NZPWMserver1.si.edu/gorilla
美國動物園 金絲猴,mms://NZPWMserver1.si.edu/glt
美國動物園 紅鶴,mms://NZPWMserver1.si.edu/flamingo
美國動物園 熊,mms://160.111.143.151/fc
美國動物園 紅毛猩猩,mms://NZPWMserver1.si.edu/thinktank
美國動物園 熊貓 3,mms://72.55.116.2/pandacam
美國動物園 懶熊 1,mms://160.111.143.151/sb1
美國動物園 懶熊 2,mms://160.111.143.151/sb2
華視,mms://wmslive.media.hinet.net/Weblive_cts_1200 
熱門流行音樂,mms://wmslive.media.hinet.net/Weblive_nexTV_MusicCall_600 
經典電影欣賞,mms://wmslive.media.hinet.net/WebLive_KuMovie_600 
超級偶像連續劇,mms://wmslive.media.hinet.net/WebLive_KuDrama_600
超級偶像連續劇,mms://wmslive.media.hinet.net/WebLive_KuDrama_600
美國財經新聞,mms://wmslive.media.hinet.net/Weblive_Bloomberg_600
日本白川鄉雪景,mms://210.172.199.29/live
澳洲雪梨港灣大橋,mms://strm-wm-03.coastalwatch.com/cstopera_broadband
澳洲墨爾本,mms://strm-wm-03.coastalwatch.com/cstmelbourne_broadband
希臘米克諾斯島,mms://live.camstreams.com/csmykmarkos?MSWMExt=.asf
倫敦特拉法加廣場 ,mms://live.camstreams.com/cscamglobal16
英國泰晤士河倫敦眼,mms://live.camstreams.com/cscamglobal9
比利時廣場,mms://T1.cinebel.be/grandplace
倫敦萊斯特廣場,mms://live.camstreams.com/cscamglobal4
